number,title
WHA26.34,"Assignment of the Democratic People's Republic of Korea to the South-East Asia Region
﻿"
WHA26.20,"Assessment for 1973 and 1974 of the German Democratic Republic
﻿"
WHA26.36,"Future organizational study by the Executive Board
﻿"
WHA26.22,"Scale of assessment for 1974
﻿"
WHA26.23,"Review of the Working Capital Fund
﻿"
WHA26.37,"Amendments to articles 34 and 55 of the Constitution
﻿"
WHA27.46,"Safety of food and water and the handling of wastes in international traffic
﻿"
WHA27.52,"Intensification of research on tropical parasitic diseases
﻿"
WHA27.53,"Psychosocial factors and health
﻿"
WHA27.47,"Reservations to the additional regulations of 23 May 1973 amending the International Health Regulations (‎1969)‎
﻿"
WHA27.51,"Development of the antimalaria programme
﻿"
WHA27.45,"Committee on International Surveillance of Communicable Diseases: eighteenth report
﻿"
WHA27.44,"Promotion of national health services
﻿"
WHA27.50,"WHO's human health and environment programme: coordination on programmes and action in the field of the environment
﻿"
WHA27.8,"Contributions payable by certain members in respect of 1974 and prior years
﻿"
WHA27.54,"Quality control of BCG vaccines
﻿"
WHA27.40,"Annual report of the United Nations Joint Staff Pension Board for 1972
﻿"
WHA27.41,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA27.55,"Adequacy of health statistical information
﻿"
WHA27.9,"Assessment of associate members
﻿"
WHA27.43,"Infant nutrition and breast-feeding
﻿"
WHA27.57,"WHO expanded programme on immunization
﻿"
WHA27.56,"Appropriation resolution for the financial year 1975
﻿"
WHA27.42,"Health assistance to refugees and displaced persons in the Middle East
﻿"
WHA27.19,"Selection of a subject for the future organizational study to be made by the Executive Board
﻿"
WHA27.25,"Annual report of the Director-General for 1973
﻿"
WHA27.31,"Continuing education for physicians
﻿"
WHA27.30,"World Population Year and Conference, 1974
﻿"
WHA27.24,"Effective working budget and budget level for 1975
﻿"
WHA27.18,"Organizational study on the interrelationships between the central technical services of WHO and programmes of direct assistance to Member States
﻿"
WHA27.32,"Coordination within the United Nations system on the development of information systems
﻿"
WHA27.26,"Award of the Léon Bernard Foundation Medal and Prize
﻿"
WHA27.27,"Health education
﻿"
WHA27.33,"Coordination within the United Nations system on programme support costs
﻿"
WHA27.37,"Activities of the World Health Organization with regard to assistance to liberation movements in southern Africa pursuant to United Nations General Assembly resolution 2918 (‎XXVII)‎ and Economic and Social Council resolution 1804 (‎LV)‎
﻿"
WHA27.23,"Admission of a new associate member: Namibia
﻿"
WHA27.22,"Admission of a new member: Guinea-Bissau
﻿"
WHA27.36,"Activities of the World Health Organization with regard to assistance to liberation movements in southern Africa pursuant to United Nations General Assembly resolution 2918 (‎XXVII)‎ and Economic and Social Council resolution 1804 (‎LV)‎
﻿"
WHA27.20,"Methods of work of the Executive Board
﻿"
WHA27.34,"Coordination with the United Nations system: the least developed among the developing countries
﻿"
WHA27.35,"Coordination within the United Nations system: general matters
 ﻿"
WHA27.21,"Agreement between the World Health Organization and the African Development Bank
﻿"
WHA27.38,"Assessment for 1974 and future years of Guinea-Bissau
﻿"
WHA27.10,"Members in arrears in the payment of their contributions to an extent which may invoke Article 7 of the Constitution
﻿"
WHA27.11,"Scale of assessment for 1975
﻿"
WHA27.39,"Assessment for 1974 of Namibia
﻿"
WHA27.13,"Study of the possibility of financing WHO activities in currencies other than US dollars and Swiss francs
﻿"
WHA27.12,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA27.16,"Real estate fund: installation of fire detection and control equipment in the building of the Regional Office for the Western Pacific
﻿"
WHA27.17,"Amendments to the rules of procedures of the World Health Assembly
﻿"
WHA27.15,"Real estate fund: additional accommodation for the Regional Office for Europe
﻿"
WHA27.29,"The role of WHO in bilateral or multilateral health aid programmes
﻿"
WHA27.28,"Health education of children and young people
﻿"
WHA27.14,"Headquarters accommodation: future requirements
﻿"
WHA27.7,"Assessment for 1974 of the Bahamas
﻿"
WHA27.6,"Salary of the Director-General
﻿"
WHA27.4,"Supplementary budget estimates for 1974
﻿"
WHA27.58,"Coordination and strengthening of leprosy control
﻿"
WHA27.64,"Reports of the Executive Board on its fifty-second and fifty-third sessions
﻿"
WHA27.59,"Prevention of road traffic accidents
﻿"
WHA27.5,"Salaries and allowances for ungraded posts
﻿"
WHA27.1,"Award of the Dr A. T. Shousha Foundation Medal and Prize
﻿"
WHA27.61,"WHO's role in the development and coordination of biomedical research
﻿"
WHA27.49,"WHO's human health and environment programme
﻿"
WHA27.48,"Drought
﻿"
WHA27.60,"Fifth report on the world health situation
﻿"
WHA27.2,"Financial report on the accounts of WHO for the year 1973 and reports of the external auditor
﻿"
WHA27.62,"Standardization of diagnostic materials
﻿"
WHA27.63,"Long-term planning of international cooperation in cancer research
﻿"
WHA27.3,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA28.17,"Scale of assessment for 1976
﻿"
WHA28.16,"Assessment for 1972 and 1973 of Pakistan
﻿"
WHA28.28,"International Civil Service Commission
﻿"
WHA28.14,"Assessment for 1975 and future years of the Democratic Republic of Viet-Nam
﻿"
WHA28.15,"Assessment for 1975 and future years of Mozambique
﻿"
WHA28.29,"Annual reporting by the Director-General
﻿"
WHA28.11,"Assessment for 1975 of Botswana
﻿"
WHA28.39,"Coordination with the United Nations system: general matters
﻿"
WHA28.38,"Use of travel funds in WHO
﻿"
WHA28.10,"Salary of the Director-General
﻿"
WHA28.12,"Assessment for 1974 and future years of Grenada
﻿"
WHA28.13,"Assessment for 1975 and future years of Tonga
﻿"
WHA28.2,"Admission of a new member: Democratic Republic of Viet-Nam
﻿"
WHA28.48,"Drought in the Sahelian zone
﻿"
WHA28.60,"Effective working budget and budget level for 1976
﻿"
WHA28.74,"Biennial budgeting
﻿"
WHA28.75,"Assistance to developing countries - I
﻿"
WHA28.61,"Election of six further members entitled to designate a person to serve on the Executive Board
﻿"
WHA28.49,"Technical assistance to Portugal
﻿"
WHA28.3,"Admission of a new member: Mozambique
﻿"
WHA28.1,"Admission of a new member: Tonga
﻿"
WHA28.77,"Assistance to developing countries - II
﻿"
WHA28.63,"WHO's human health and environment programme: coordination on programmes and action in the field of the environment
﻿"
WHA28.88,"Promotion of national health services relating to primary health care
﻿"
WHA28.89,"Reports of the Executive Board on its fifty-fourth and fifty-fifth sessions
﻿"
WHA28.62,"Safe use of pesticides: classification of pesticides according to hazard
﻿"
WHA28.76,"Programme budget policy with regard to technical assistance to developing countries
﻿"
WHA28.72,"Utilization and supply of human blood and blood products
﻿"
WHA28.66,"Prophylactic and therapeutic substances
﻿"
WHA28.4,"Award of the Léon Bernard Foundation Medal and Prize
﻿"
WHA28.5,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA28.67,"Annual report of the United Nations Joint Staff Pension Board for 1973
﻿"
WHA28.73,"Occupational health programme
﻿"
WHA28.65,"Good practices in the manufacture and quality control of drugs and certification scheme on the quality of pharmaceutical products moving in international commerce
﻿"
WHA28.71,"WHO's role in the development and coordination of research in tropical diseases
﻿"
WHA28.7,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA28.59,"Rheumatic diseases
﻿"
WHA28.58,"Control of sexually transmitted diseases
﻿"
WHA28.6,"Financial report on the accounts of WHO for the year 1974 and report of the external auditor
﻿"
WHA28.70,"WHO's role in the development and coordination of biomedical research
﻿"
WHA28.64,"Fluoridation and dental health
﻿"
WHA28.69,"Method of work of the World Health Assembly
﻿"
WHA28.41,"UNDP-supported activities and those financed from other extrabudgetary sources
﻿"
WHA28.55,"Mycotic diseases
﻿"
WHA28.82,"Prevention of rickets, osteomalacia and osteoporosis
﻿"
WHA28.83,"The need for laboratory animals for the control of biological products and the establishment of breeding colonies
﻿"
WHA28.54,"Prevention of blindness
﻿"
WHA28.40,"Tasks of WHO in connexion with International Women's Year
﻿"
WHA28.68,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA28.56,"Leprosy control
﻿"
WHA28.8,"Supplementary budget for 1975
﻿"
WHA28.42,"United Nations World Food Conference
﻿"
WHA28.81,"Health statistics related to alcohol
﻿"
WHA28.80,"Drug dependence
﻿"
WHA28.43,"Activities of the World Health Organization with regard to assistance to liberation movements in southern Africa pursuant to United Nations General Assembly resolution 2918 (‎XXVII)‎ and Economic and Social Council resolution 1804 (‎LV)‎
﻿"
WHA28.9,"Salaries and allowances for ungraded posts
﻿"
WHA28.57,"Mental retardation
﻿"
WHA28.53,"Schistosomiasis
﻿"
WHA28.47,"Health assistance to refugees and displaced persons in Cyprus
﻿"
WHA28.84,"Promotion of mental health
﻿"
WHA28.85,"Long-term planning of international cooperation in cancer research
﻿"
WHA28.46,"Assistance to meet urgent health problems resulting from the drought in Somalia
﻿"
WHA28.52,"Smallpox eradication programme
﻿"
WHA28.44,"World Population Year and Conference, 1974
﻿"
WHA28.50,"Psychosocial factors and health
﻿"
WHA28.78,"Assistance to newly independent and emerging States in Africa
﻿"
WHA28.87,"Development of the antimalaria programme
﻿"
WHA28.86,"Appropriation resolution for the financial year 1976
﻿"
WHA28.79,"Special assistance to Cambodia, the Democratic Republic of Viet-Nam, and the Republic of South Viet-Nam
﻿"
WHA28.51,"WHO activities in regard to the development of methods of controlling the tropical parasitic diseases
﻿"
WHA28.45,"WHO activities related to disasters and natural catastrophes
﻿"
WHA28.22,"Proposal for constitutional amendment to allow for further increase in the membership of the Executive Board
﻿"
WHA28.36,"Use of German as a working language in the Regional Organization for Europe
﻿"
WHA28.37,"Participation in the Regional Committee for Africa of Members not having their seat of government within the region
﻿"
WHA28.23,"Study of the possibility of financing WHO activities in currencies other than US dollars and Swiss francs
﻿"
WHA28.35,"Health assistance to refugees and displaced persons in the Middle East
﻿"
WHA28.21,"Award of the Dr A. T. Shousha Foundation Medal and Prize
﻿"
WHA28.20,"Annual report of the Director-General for 1974
﻿"
WHA28.34,"Use of Arabic as a working language of the World Health Assembly and the Executive Board
﻿"
WHA28.30,"Organizational study on the interrelationships between the central technical services of WHO and programmes of direct assistance to Member States
﻿"
WHA28.24,"Headquarters accommodation: future requirements
﻿"
WHA28.18,"Members in arrears in the payment of their contributions to an extent which may invoke Article 7 of the Constitution
﻿"
WHA28.19,"Procedure for election of six members entitled to designate a person to serve on the Executive Board
﻿"
WHA28.25,"Review of the Working Capital Fund
﻿"
WHA28.31,"Organizational study on the planning for and impact of extrabudgetary resources on WHO's programmes and policy
﻿"
WHA28.27,"Appointment of the external auditor
﻿"
WHA28.33,"Use of Chinese as a working language of the World Health Assembly and the Executive Board
﻿"
WHA28.32,"Future organizational study by the Executive Board
﻿"
WHA28.26,"Real estate fund
﻿"
WHA29.1,"Admission of a new member: People's Republic of Angola
﻿"
WHA29.57,"Occupational health programme
﻿"
WHA29.43,"International Women's Year
﻿"
WHA29.42,"UNDP-supported activities: financial situation
﻿"
WHA29.56,"Establishment of a WHO collaborating centre for the International Classification of Diseases in Portuguese
﻿"
WHA29.2,"Annual report of the Director-General for 1975
﻿"
WHA29.40,"Health and medical assistance to Lebanon
﻿"
WHA29.54,"Smallpox eradication programme
﻿"
WHA29.69,"Health assistance to refugees and displaced persons in the Middle East
﻿"
WHA29.55,"Smoking and health
﻿"
WHA29.41,"Coordination within the United Nations system: general matters
 ﻿"
WHA29.3,"Financial report on the accounts of WHO for the year 1975 and report of the external auditor
﻿"
WHA29.7,"Assessment for 1976 and future years of Cape Verde
﻿"
WHA29.45,"WHO's human health and environment programme
﻿"
WHA29.51,"Award of the Léon Bernard Foundation Medal and Prize
﻿"
WHA29.50,"Birth defect surveillance
﻿"
WHA29.44,"Health assistance to refugees and displaced persons in Cyprus
﻿"
WHA29.6,"Assessment for 1975 and future years of the Comoros
﻿"
WHA29.4,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA29.52,"Effective working budget and budget level for 1977
﻿"
WHA29.46,"Health aspects of human settlements
﻿"
WHA29.47,"Community water supply and excreta disposal
﻿"
WHA29.53,"Appropriation resolution for the financial year 1977
﻿"
WHA29.5,"Members in arrears in the payment of their contributions to an extent which may invoke the provisions of Article 7 of the Constitution
﻿"
WHA29.34,"Ninth revision of the International Classification of Diseases
﻿"
WHA29.20,"Sixth general programme of work covering a specific period: 1978-1983
﻿"
WHA29.21,"Psychosocial factors and health
﻿"
WHA29.35,"Activities related to the International Classification of Diseases
﻿"
WHA29.23,"Assistance to newly independent and emerging States in Africa
﻿"
WHA29.37,"Amendments to the rules of procedures of the World Health Assembly
﻿"
WHA29.36,"Annual reporting by the Director-General and other documents on the work of WHO
﻿"
WHA29.22,"Report on the world health situation
﻿"
WHA29.26,"Use of Arabic as a working language of the World Health Assembly and of the Executive Board
﻿"
WHA29.32,"Organizational study on the planning for and impact of extrabudgetary resources on WHO's programmes and policy
﻿"
WHA29.33,"Future organizational study by the Executive Board
﻿"
WHA29.27,"Review of the Working Capital Fund
﻿"
WHA29.19,"International Conference on Primary Health Care: cosponsorship by UNICEF and WHO
﻿"
WHA29.31,"Voluntary fund for health promotion
﻿"
WHA29.25,"Supplementary budget for 1976
﻿"
WHA29.24,"Special assistance to Cambodia, the Democratic Republic of Viet-Nam, the Lao People's Democratic Republic, and the Republic of South Viet-Nam
﻿"
WHA29.30,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA29.18,"Award of the Dr A. T. Shousha Foundation Medal and Prize
﻿"
WHA29.15,"Assessment of Grenada, Guinea-Bissau, and Tonga
﻿"
WHA29.29,"Use of the Executive Board special fund
﻿"
WHA29.28,"Real estate fund
﻿"
WHA29.14,"Assessment of Bangladesh
﻿"
WHA29.16,"Scale of assessment for 1977
﻿"
WHA29.17,"Use of Chinese as a working language of the World Health Assembly and of the Executive Board
﻿"
WHA29.13,"Assessment of Namibia
﻿"
WHA29.12,"Assessment of the Republic of South Viet-Nam
﻿"
WHA29.38,"Amendments to Articles 24 and 25 of the Constitution
﻿"
WHA29.10,"Assessment for 1976 and future years of Papua New Guinea
﻿"
WHA29.11,"Assessment for 1976 and future years of Angola
﻿"
WHA29.39,"Aid to the Sudano-Sahelian populations
﻿"
WHA29.8,"Assessment for 1976 and future years of Sao Tome and Principe
﻿"
WHA29.62,"Reports of the Executive Board on its fifty-sixth and fifty-seventh sessions
﻿"
WHA29.63,"Expanded programme on immunization
﻿"
WHA29.9,"Assessment for 1976 and future years of Surinam
﻿"
WHA29.61,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA29.49,"Cardiovascular diseases
﻿"
WHA29.48,"Programme budget policy
 ﻿"
WHA29.74,"Promotion of national health services and health technology relating to primary health care and rural development
﻿"
WHA29.60,"Annual report of the United Nations Joint Staff Pension Board for 1974
﻿"
WHA29.58,"Schistosomiasis
﻿"
WHA29.64,"Development and coordination of biomedical research
﻿"
WHA29.70,"Leprosy control
﻿"
WHA29.71,"Intensification of research on parasitic and other communicable and tropical diseases
﻿"
WHA29.65,"Système international d'Unités: use of SI units in medicine
﻿"
WHA29.59,"Mycotic infections
﻿"
WHA29.73,"Development of the antimalaria programme
﻿"
WHA29.67,"The need for laboratory animals (‎nonhuman primates)‎ for the control of biological products and the establishment of breeding colonies
﻿"
WHA29.66,"Rheumatic diseases
﻿"
WHA29.72,"Health manpower development
﻿"
WHA30.1,"Amendment to the rules of procedure of the Health Assembly: increase in the membership of the General Committee
﻿"
WHA30.3,"Financial report on the accounts of WHO for 1976, and report of the external Auditor
 ﻿"
WHA30.49,"Promotion and development of training and research in traditional medicine
﻿"
WHA30.48,"The role of nursing/midwifery personnel in primary health care teams
﻿"
WHA30.2,"Seventy-fifth anniversary of the Pan American Health Organization
﻿"
WHA30.6,"Assessment of the Comoros, Cape Verde, Mozambique, Sao Tome and Principe, Surinam, and Papua New Guinea
﻿"
WHA30.7,"Phased extension of the use of the German language in the Regional Office for Europe
﻿"
WHA30.5,"Method of establishment of the WHO scale of assessment
﻿"
WHA30.4,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA30.15,"Appointment of the external auditor
﻿"
WHA30.29,"Assessment of Namibia
﻿"
WHA30.28,"Continuation of the Joint Inspection Unit
﻿"
WHA30.14,"Scale of assessment for 1978
﻿"
WHA30.16,"Organizational study on WHO's role at the country level, particularly the role of the WHO representatives
﻿"
WHA30.17,"Future organizational study by the Executive Board
﻿"
WHA30.13,"Assessment of the Socialist Republic of Viet Nam
﻿"
WHA30.12,"Members in arrears in the payment of their contributions to an extent which may invoke the provisions of Article 7 of the Constitution
﻿"
WHA30.38,"Mental retardation
﻿"
WHA30.10,"Reimbursement of travelling expenses and payment of per diem for members of the Executive Board
﻿"
WHA30.11,"Reimbursement of travelling expenses for attendance at the Health Assembly
﻿"
WHA30.39,"Système international d'Unités: use of SI units in medicine
﻿"
WHA30.20,"Biennial programme budget: introduction of biennial budget cycle
﻿"
WHA30.34,"Coordination within the United Nations system: general matters
﻿"
WHA30.35,"Assignment of Ethiopia to the African Region
﻿"
WHA30.21,"Biennial programme budget: amendments to the financial regulations
﻿"
WHA30.37,"Health assistance to refugees and displaced persons in the Middle East
﻿"
WHA30.23,"Development of programme budgeting and management of WHO's resources at country level
﻿"
WHA30.22,"Biennial programme budget: amendments to the rules of procedure of the Health Assembly
﻿"
WHA30.36,"Leprosy control
﻿"
WHA30.32,"Development of codes of medical ethics
﻿"
WHA30.26,"Health assistance to refugees and displaced persons in Cyprus
﻿"
WHA30.27,"Health and medical assistance to Lebanon
﻿"
WHA30.33,"United Nations Water Conference
﻿"
WHA30.19,"Nineteenth report of the Committee on International Surveillance of Communicable Diseases
﻿"
WHA30.25,"Special assistance to Democratic Kampuchea, the Lao People's Democratic Republic, and the Socialist Republic of Viet Nam
﻿"
WHA30.31,"Appropriation resolution for the financial year 1978
﻿"
WHA30.30,"Programme budget policy
﻿"
WHA30.24,"Assistance to newly independent and emerging States in Africa
﻿"
WHA30.18,"Action in respect of international conventions on narcotic drugs: implementation of the convention on psychotropic substances - functions and responsibilities of WHO
﻿"
WHA30.9,"Amendment to the contract of the Director-General
﻿"
WHA30.43,"Technical cooperation
﻿"
WHA30.42,"Special programme for research and training in tropical diseases
﻿"
WHA30.8,"Salaries and allowances: ungraded categories of post
﻿"
WHA30.54,"Regional production of vaccines for the expanded programme on immunization
﻿"
WHA30.40,"Development and coordination of biomedical and health services research
﻿"
WHA30.41,"Long-term planning of international cooperation in cancer research
﻿"
WHA30.51,"The role of the health sector in the development of national and international food and nutrition policies and plans
﻿"
WHA30.45,"Special programme of technical cooperation in mental health
﻿"
WHA30.44,"Health legislation
﻿"
WHA30.50,"Method of work of the Health Assembly and of the Executive Board
﻿"
WHA30.46,"Information systems and services
﻿"
WHA30.52,"Smallpox eradication
﻿"
WHA30.53,"Expanded programme on immunization
﻿"
WHA30.47,"Evaluation of the effects of chemicals on health
﻿"
WHA31.36,"Medium-term programme for health manpower development
﻿"
WHA31.22,"Appropriation resolution for the financial year 1978
﻿"
WHA31.23,"Tentative budgetary projections for the biennium 1980-1981
﻿"
WHA31.37,"Special programme of research, development and research training in human reproduction
﻿"
WHA31.21,"Medium-term programme for mental health
﻿"
WHA31.35,"Development and coordination of biomedical and health services research
﻿"
WHA31.34,"Appropriate technology for health
﻿"
WHA31.20,"Development of health information systems
﻿"
WHA31.24,"Members in arrears in the payment of their contributions to an extent which may invoke the provisions of Article 7 of the Constitution
﻿"
WHA31.30,"Procedures for introducing changes into the sixth general programme of work covering a specific period (‎1978-1983 inclusive)‎
﻿"
WHA31.18,"WHO Constitution: adoption of Arabic text and amendment to Article 74
﻿"
WHA31.19,"Agreement with the Islamic Development Bank
﻿"
WHA31.31,"Monitoring of the implementation of programme budget policy and strategy
﻿"
WHA31.25,"Health assistance to refugees and displaced persons in Cyprus
﻿"
WHA31.33,"Medicinal plants
﻿"
WHA31.27,"Organizational study on WHO's role at the country level, particularly the role of the WHO representatives
﻿"
WHA31.26,"Health and medical assistance to Lebanon
﻿"
WHA31.32,"Action programme on essential drugs
﻿"
WHA31.55,"Maternal and child health
﻿"
WHA31.41,"Technical cooperation among developing countries
﻿"
WHA31.3,"Appointment of the Director-General
﻿"
WHA31.2,"Message of sympathy to the Italian Government
﻿"
WHA31.40,"United Nations Water Conference
﻿"
WHA31.54,"Smallpox eradication programme: current status and certification
﻿"
WHA31.42,"Education of people in community health
﻿"
WHA31.56,"Health hazards of smoking
﻿"
WHA31.1,"Method of work of the Health Assembly - I
 ﻿"
WHA31.57,"Control of sexually transmitted diseases
﻿"
WHA31.43,"Managerial processes for health development
﻿"
WHA31.47,"The role of the health sector in the development of national and international food and nutrition policies and plans, with special reference to combating malnutrition
﻿"
WHA31.53,"Expanded programme on immunization
﻿"
WHA31.5,"Financial report on the accounts of WHO for 1977，and report of the external auditor
﻿"
WHA31.4,"Contract of the Director-General
﻿"
WHA31.52,"Cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa
﻿"
WHA31.46,"Cooperation with newly independent and emerging States in Africa: special programme for health cooperation with Lesotho
﻿"
WHA31.50,"Fluorides and the prevention of dental caries
﻿"
WHA31.44,"Control of diarrhoeal diseases
﻿"
WHA31.6,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA31.7,"Use of casual income to reduce adverse effects of currency fluctuations on the programme budget
﻿"
WHA31.45,"Malaria control strategy
﻿"
WHA31.51,"Activities financed from extrabudgetary sources within the United Nations system
﻿"
WHA31.48,"Prevention and control of zoonoses and foodborne diseases due to animal products
﻿"
WHA31.49,"Food hygiene
﻿"
WHA31.9,"Method of work of the Health Assembly - II
﻿"
WHA31.8,"Supplementary budget for 1978
﻿"
WHA31.58,"Control of endemic treponematoses
﻿"
WHA31.17,"Appointment of external auditor
﻿"
WHA31.16,"Scale of assessment for 1979
﻿"
WHA31.28,"Evaluation of the effects of chemicals on health
﻿"
WHA31.14,"Assessment of Djibouti
﻿"
WHA31.15,"Assessment of Angola
﻿"
WHA31.29,"Evaluation of the effects of biological environmental factors on health
﻿"
WHA31.11,"Development of health programme evaluation
﻿"
WHA31.39,"Coordination within the United Nations system: general matters
﻿"
WHA31.38,"Health conditions of the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA31.10,"Medium-term programming for the implementation of the sixth general programme of work covering a specific period (‎1978-1983 inclusive)‎
﻿"
WHA31.12,"Country health programming
﻿"
WHA31.13,"Documentation and languages of the Health Assembly and the Executive Board
﻿"
WHA32.2,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA32.3,"Supplementary budgetary requirements for 1979
﻿"
WHA32.1,"Financial report on the accounts of WHO for 1978 and report of the external auditor thereon
﻿"
WHA32.4,"Report on casual income
﻿"
WHA32.5,"Use of the Portuguese language at the Regional Office for Africa
﻿"
WHA32.7,"Assessment of Viet Nam
﻿"
WHA32.6,"Assessment of Djibouti
﻿"
WHA32.10,"Review of the working capital fund
﻿"
WHA32.38,"Organization of a world fortnight on hygiene and cleanliness
﻿"
WHA32.39,"Leprosy
﻿"
WHA32.11,"Collaboration with the United Nations system: general matters: United Nations Water Conference: follow-up to the Mar del Plata Action Plan
﻿"
WHA32.13,"Development of the mental health programme
﻿"
WHA32.12,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution: amendment to Rule 72 of the Rules of Procedure of the World Health Assembly
﻿"
WHA32.16,"Health laboratory technology
﻿"
WHA32.17,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution
﻿"
WHA32.29,"Tentative budgetary projections for the financial period 1982-1983
﻿"
WHA32.15,"Development and coordination of biomedical and health services research
﻿"
WHA32.14,"Workers' health programme
﻿"
WHA32.28,"Proposed appropriation resolution for the financial period 1980-1981
﻿"
WHA32.25,"Collaboration with the United Nations system: general matters: health Care of the Elderly
﻿"
WHA32.31,"Review of the medium-term programme for the promotion of environmental health
﻿"
WHA32.19,"Collaboration with the United Nations system: health and medical assistance to Lebanon
﻿"
WHA32.18,"Collaboration with the United Nations system: health assistance to refugees and displaced persons in Cyprus
﻿"
WHA32.30,"Formulating strategies for health for all by the year 2000
﻿"
WHA32.24,"Collaboration with the United Nations system: general matters: coordination of activities with other United Nations agencies and attainment of health for all by the year 2000
﻿"
WHA32.32,"Smallpox eradication
﻿"
WHA32.27,"Collaboration with the United Nations system: technical cooperation among developing countries
﻿"
WHA32.33,"Respiratory diseases
﻿"
WHA32.23,"Supplementary budgetary requirements for 1979: extended borrowing authority
﻿"
WHA32.22,"Collaboration with the United Nations system: cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa
﻿"
WHA32.36,"Method of work of the Health Assembly
﻿"
WHA32.20,"Collaboration with the United Nations system: cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa
﻿"
WHA32.34,"Emergencies caused by yellow fever and other communicable diseases
﻿"
WHA32.35,"Development of the malaria action programme in Africa
﻿"
WHA32.21,"Collaboration with the United Nations system: cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa
﻿"
WHA32.8,"Scale of assessment for the financial period 1980-1981
﻿"
WHA32.9,"Appointment of external auditor
﻿"
WHA32.40,"Development of the WHO programme on alcohol-related problems
﻿"
WHA32.41,"Action programme on essential drugs
﻿"
WHA32.42,"WHO long-term programme for maternal and child health
﻿"
WHA33.33,"Collaboration with the United Nations system: cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa: assistance to Front-Line States
﻿"
WHA33.27,"Action in respect of international conventions on narcotic and psychotropic substances: abuse of narcotic and psychotropic substances
﻿"
WHA33.26,"Tuberculosis control
﻿"
WHA33.32,"Infant and Young Child Feeding
﻿"
WHA33.18,"Health conditions of the Arab population in the occupied Arab territories, including Palestine
﻿"
WHA33.24,"Formulating strategies for health for all by the year 2000: health as an integral part of development and of the new international economic order
﻿"
WHA33.30,"Recruitment of international staff in WHO
﻿"
WHA33.31,"Workers' health programme
﻿"
WHA33.25,"Development and coordination of biomedical and health services research
﻿"
WHA33.19,"Periodicity of Health Assemblies
﻿"
WHA33.21,"Collaboration with the United Nations system: agreement between WHO and the International Fund for Agricultural Development
﻿"
WHA33.35,"WHO's programme on smoking and health
﻿"
WHA33.34,"Collaboration with the United Nations system: cooperation with newly independent and emerging States in Africa: liberation struggle in Southern Africa
﻿"
WHA33.20,"Organizational study on the ""Role of WHO expert advisory panels and committees and collaborating centres in meeting the needs of WHO regarding expert advice and in carrying out technical activities of WHO""
﻿"
WHA33.22,"Collaboration with the United Nations system: health assistance to refugees and displaced persons in Cyprus
﻿"
WHA33.23,"Collaboration with the United Nations system: health and medical assistance to Lebanon
﻿"
WHA33.1,"Admission of a new member: San Marino
﻿"
WHA33.2,"Admission of a new member: Zimbabwe
﻿"
WHA33.3,"Declaration of global eradication of smallpox
﻿"
WHA33.7,"Members in arrears in the payment of their contributions to an extent which may invoke the provisions of article 7 of the Constitution
﻿"
WHA33.6,"Status of collection of annual contributions and of advances to the Working Capital Fund
﻿"
WHA33.4,"Global smallpox eradication
﻿"
WHA33.5,"Financial report on the accounts of WHO for 1979 and report of the external auditor thereon
﻿"
WHA33.8,"Financial reports and extrabudgetary resources
﻿"
WHA33.9,"Assessment of new members and associate members: assessment of the Seychelles
﻿"
WHA33.12,"Assessment of new members and associate members: unpaid contributions of Southern Rhodesia
﻿"
WHA33.13,"Assessment of new members and associate members: assessment of Zimbabwe
﻿"
WHA33.11,"Assessment of new members and associate members: assessment of San Marino
﻿"
WHA33.10,"Assessment of new members and associate members: assessment of Equatorial Guinea
﻿"
WHA33.14,"Amendment to the scale of assessments to be applied to the second year of the financial period 1980-1981
﻿"
WHA33.28,"Health legislation: strengthening WHO's health legislation programme
﻿"
WHA33.29,"Health legislation: reservations to the International Health Regulations
﻿"
WHA33.15,"Real estate fund
﻿"
WHA33.17,"Study of the organization's structures in the light of its functions
﻿"
WHA34.4,"Reimbursement of travel costs of representatives to regional committees
﻿"
WHA34.12,"Real estate fund
﻿"
WHA34.13,"Amendment of the International Health Regulations (‎1969)‎
﻿"
